ticker,price,market_cap_b,avg_volume,beta,options_volume,open_interest,implied_vol,avg_premium_pct,annual_premium,dte,quality_score,capital_per_contract,category,subcategory
SPY,677.25,621.567868928,74018801,1.0,117.61363636363636,0.0,2.4079805464311077,0.0,0.0,38,90,67725.0,SP500_HIGH_LIQUIDITY,ETFs
INTC,38.28,182.44247552,125899845,1.33,81.0,0.0,4.102521484375001,0.0,0.0,38,85,3828.0,TECH,Semiconductors
SCCO,129.34,105.048522752,1616335,1.02,14.5,0.0,4.688453125,0.0,0.0,24,85,12934.0,METALS,Mining
QQQ,617.1,242.58199552,51514685,1.0,48.72727272727273,0.0,2.354159174138849,0.0,0.0,38,85,61710.0,SP500_HIGH_LIQUIDITY,ETFs
SCCO,129.34,105.048522752,1616335,1.02,14.5,0.0,4.688453125,0.0,0.0,24,85,12934.0,METALS,Industrial Metals
BA,221.35,167.37550336,7309564,1.47,12.0,0.0,3.6142451171875005,0.0,0.0,38,85,22135.0,SP500_HIGH_LIQUIDITY,Industrials
CRM,254.83,242.598166528,9238707,1.195,17.0,0.0,4.063459375000001,0.0,0.0,38,85,25483.0,TECH,Software
GS,783.88,242.062147584,1882117,1.415,21.833333333333332,0.0,2.8469536830357143,0.0,0.0,38,85,78388.0,SP500_HIGH_LIQUIDITY,Financials
AMZN,224.21,2391.180050432,44233446,1.281,90.25,0.0,4.29783203125,0.0,0.0,38,85,22421.0,TECH,Mega Cap
GOOGL,259.92,3146.676436992,33080782,1.0,23.0,0.0,4.063459375000001,0.0,0.0,38,85,25992.0,TECH,Mega Cap
MSFT,523.61,3892.0388608,20255423,1.023,20.5,0.0,3.4775277343750006,0.0,0.0,38,85,52361.0,TECH,Mega Cap
AVGO,354.13,1672.331132928,22760440,1.208,16.857142857142858,0.0,3.9072109375000004,0.0,0.0,38,85,35413.0,TECH,Semiconductors
AAPL,262.82,3900.351184896,54728796,1.094,18.8,0.0,3.5947140625,0.0,0.0,38,85,26282.0,TECH,Mega Cap
ADBE,353.52,147.983466496,4343746,1.49,11.428571428571429,0.0,3.9072109375000004,0.0,0.0,38,85,35352.0,TECH,Software
KLAC,1182.82,155.75908352,1005678,1.497,6.666666666666667,0.0,3.8583833007812505,0.0,0.0,24,80,118282.0,TECH,Semiconductors
NKE,69.11,102.15849984,13172690,1.298,4.0,0.0,6.250937500000001,0.0,0.0,38,80,6911.0,SP500_HIGH_LIQUIDITY,Consumer
